,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KOS,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TOA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WAS,WSM,YEM,ZAF,ZMB,ZRN,ZWE
AUT,0,0,0,0,0,14,57,5,0,285,0,0,0,358,0,0,5,78,0,0,9,10,0,0,2,113,0,0,3,1,0,361,734,45,234,3,5,0,19,0,0,0,7,11,246,2691,0,205,2,5,5,48,0,573,20,6,184,0,861,0,3,1054,2,6,0,1,1,1,121,0,0,6,1,0,0,89,0,228,8,94,96,37,2,22,120,840,2,7,273,1,13,0,0,0,86,0,5,0,9,0,0,0,14,2,0,30,15,5,4,1,3,2,0,50,8,0,4,0,2,3,0,0,0,1,15,3,2,0,6,1,562,173,3,49,1,16,4,5,8,0,0,258,0,139,0,0,2,2,0,76,247,0,10,6,2,49,0,2,0,0,0,63,0,0,0,148,145,381,0,0,4,0,0,43,1,0,0,0,1,10,84,51,10,2,62,7,1649,0,0,0,3,12,0,0,0,0,60,1,0,4
AZE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,3,0,0,0,0,0,1,17,0,1,0,0,0,1,0,2,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21,0,0,1,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,76,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0
BDI,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,1,0,5,0,0,12,83,23,0,367,358,0,5,0,25,27,11,112,0,0,6,14,0,0,14,208,0,0,0,1,0,625,733,81,312,11,27,13,36,0,0,2,24,15,233,1835,0,310,1,33,13,43,0,961,41,35,254,0,2284,0,1,1907,14,7,0,3,5,5,236,0,1,1,2,0,1,47,0,196,11,126,152,49,0,22,199,1244,2,7,331,21,43,1,6,0,99,0,3,2,14,0,1,0,1,5,0,42,81,8,28,2,6,9,0,94,9,5,5,1,15,14,7,0,1,12,33,3,4,7,14,1,2000,184,8,81,4,8,1,23,24,0,0,398,0,230,0,0,2,2,3,132,315,14,15,2,19,31,0,0,0,0,0,51,0,0,0,66,73,514,0,2,6,0,2,31,0,0,0,0,1,38,103,44,24,24,54,5,2351,6,0,0,9,56,0,0,0,0,139,16,26,7
BEN,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,7,5,0,0,11,6,3,0,0,0,0,0,0,0,13,0,6,0,0,0,1,0,1,0,0,0,0,62,0,1,13,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,7,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,2,10,0,9,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,4,2,0,0,19,0,0,0,0,0,0,0,0,0,10,2,2,0
BFA,0,1,0,0,0,0,0,0,0,4,0,0,0,27,10,0,4,1,1,0,0,0,0,0,0,2,0,0,0,3,1,20,16,0,1,16,15,6,1,0,0,0,0,1,1,18,0,5,0,0,0,3,0,10,2,4,1,0,88,0,6,31,1,5,0,4,3,1,1,0,0,0,0,0,0,1,0,1,1,1,3,0,0,1,2,13,0,1,1,0,9,1,1,0,1,0,0,1,1,0,0,0,0,4,0,1,2,1,3,0,0,4,0,1,0,16,0,0,0,0,2,3,1,3,0,1,0,12,7,0,6,3,0,0,0,2,0,1,0,0,1,1,0,2,0,0,0,0,0,1,3,3,0,4,17,0,0,0,0,0,0,1,0,0,0,1,1,15,0,0,0,2,6,5,0,0,0,0,0,1,1,1,5,4,0,0,28,1,0,0,1,3,0,0,0,0,6,2,3,0
BGD,0,0,0,0,0,1,1,0,0,63,5,0,0,11,0,4,0,0,0,0,0,0,0,0,2,9,0,0,0,3,0,27,18,1,37,0,0,0,3,0,0,0,2,2,4,35,0,9,0,0,0,7,0,1,1,2,4,0,13,0,0,94,0,3,0,0,0,3,1,0,0,0,0,0,0,4,0,3,2,38,3,3,0,1,3,14,1,1,163,0,8,0,0,0,48,0,0,0,2,0,0,0,0,6,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,3,35,0,0,0,0,0,16,4,10,3,3,15,0,4,8,0,1,3,0,1,0,0,0,0,0,1,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,1,51,0,0,0,0,0,26,0,0,0,0,0,0,2,5,1,2,0,1,165,1,0,0,2,4,0,0,0,0,9,0,0,2
BGR,0,0,1,0,0,3,8,23,0,31,78,2,0,112,0,1,0,0,0,0,5,9,0,0,2,16,1,1,0,0,0,46,99,3,30,0,1,0,4,0,0,1,0,6,80,415,0,35,0,5,0,4,1,152,12,0,55,0,220,0,0,168,2,1,0,0,2,0,88,0,0,0,0,0,0,20,0,55,0,39,18,6,1,3,30,193,0,0,62,2,2,2,0,0,17,0,2,0,3,0,1,0,1,0,0,10,6,8,3,0,1,0,0,26,24,0,1,0,13,16,0,0,0,0,2,1,0,0,2,1,52,22,0,3,2,2,0,0,0,0,0,134,0,32,0,0,0,0,0,68,113,0,3,2,0,0,0,0,0,0,0,42,0,0,0,50,19,55,0,0,2,0,0,4,1,0,0,0,0,3,47,8,1,0,21,0,210,0,0,0,0,0,0,0,0,0,12,0,0,0
BHR,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,2,0,1,0,0,0,0,0,0,0,0,6,0,1,0,1,0,14,0,1,0,1,0,0,4,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,0,0,3,0,2,1,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,17,6,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,3,0,1,1,0,0,7,0,0,0,0,0,0,0,0,3,1,1,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,1,0,1,0,3,9,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,2,0,1,0,4,3,0,1,0,6,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,72,0,3,0,0,2,1,1,0,0,8,0,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,1,2,0,0,0,0,0,0,0,62,0,0,0,2,22,0,0,0,2,0,0,4,1,0,0,0,0,1,4,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,2,6,0,7,10,0,0,14,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,10,17,1,17,0,0,0,1,0,0,0,0,1,20,99,0,10,0,1,0,2,0,23,7,0,11,0,43,0,0,44,2,0,0,0,0,0,6,0,0,0,0,0,0,3,0,6,0,6,3,3,0,1,2,31,0,3,15,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,1,9,1,0,1,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,9,8,0,1,0,1,0,0,0,0,0,73,0,13,0,0,0,0,0,5,195,0,0,0,2,4,0,0,0,0,0,6,0,0,0,6,8,18,0,0,0,0,0,0,0,0,0,0,0,2,8,7,0,0,36,0,49,2,0,0,0,3,0,0,0,0,2,0,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0
BOL,0,0,0,0,0,0,26,0,0,6,2,0,0,14,0,0,2,2,0,0,0,0,0,0,0,29,0,0,0,0,0,4,10,7,0,0,0,0,14,0,0,1,1,0,4,22,0,4,1,0,18,0,0,30,0,0,0,0,29,0,0,30,0,0,0,0,0,0,1,0,0,0,4,0,2,1,0,1,2,4,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,2,0,0,6,31,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,76,0,0,0,10,4,0,0,0,0,2,0,0,1
BRA,1,3,0,0,0,4,512,11,0,327,113,0,0,208,3,2,9,16,2,0,0,9,0,0,29,0,3,0,0,1,0,688,234,229,209,1,4,1,237,0,2,37,96,5,122,812,0,98,5,5,70,19,0,724,9,5,83,0,1053,0,3,962,4,2,0,1,6,2,45,0,0,10,10,0,5,30,1,52,7,202,95,21,0,10,81,562,1,5,225,2,10,0,2,0,134,0,3,0,5,0,1,0,0,6,0,11,11,7,5,1,1,4,0,243,0,0,2,0,0,0,5,0,0,1,30,0,5,1,19,4,333,75,5,48,2,18,16,79,13,0,0,116,0,428,12,0,0,0,2,31,203,1,12,3,5,37,0,0,2,0,0,10,0,0,0,16,26,193,0,0,1,0,0,26,0,0,0,0,1,6,41,40,3,4,22,96,3155,3,1,0,81,9,1,4,0,0,88,0,0,1
BRB,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,3,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,1,1,0,0
BRN,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,1,0,0,8,1,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,3,0,3,0,2,0,1,0,0,0,0,2,1,3,0,4,0,0,0,1,0,2,1,1,2,0,5,0,0,20,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,5,5,0,0,1,2,1,0,1,6,0,7,0,0,0,1,0,0,0,1,0,0,0,0,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,9,0,2,3,0,2,0,2,0,1,0,0,0,2,1,1,0,0,0,0,0,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,45,0,0,0,0,0,0,0,0,0,42,3,1,10
